-1.5,-15,2
1.5,-15,2
-1.5,-10,2
1.5,-10,2
-1.5,-1,2
1.5,-1,2
-1.5,1,2
1.5,1,2
-1.5,12,2
1.5,12,2
-1.5,17,2
1.5,17,2
-1.5,22,2
1.5,22,2
-1.5,25,2
1.5,25,2
-1.5,0,1
-1.612,7.513,0
-2.0804,2.918,1
-5.059,9.8162,0
-3.7333,5.3917,1
-9.125,10.625,0
-6.207,7.0446,1
-13.191,9.8162,0
-9.125,7.625,1
-16.638,7.513,0
-12.043,7.0446,1
-18.941,4.066,0
-14.517,5.3917,1
-19.75,1.3012E-15,0
-16.17,2.918,1
-18.941,-4.066,0
-16.75,9.3379E-16,1
-16.638,-7.513,0
-16.17,-2.918,1
-13.191,-9.8162,0
-14.517,-5.3917,1
-9.125,-10.625,0
-12.043,-7.0446,1
-5.059,-9.8162,0
-9.125,-7.625,1
-1.612,-7.513,0
-6.207,-7.0446,1
-3.7333,-5.3917,1
-2.0804,-2.918,1
16.75,0,0
19.75,0,1
16.17,2.918,0
18.941,4.066,1
14.517,5.3917,0
16.638,7.513,1
12.043,7.0446,0
13.191,9.8162,1
9.125,7.625,0
9.125,10.625,1
6.207,7.0446,0
5.059,9.8162,1
3.7333,5.3917,0
1.612,7.513,1
2.0804,2.918,0
1.612,-7.513,1
1.5,9.3379E-16,0
5.059,-9.8162,1
2.0804,-2.918,0
9.125,-10.625,1
3.7333,-5.3917,0
13.191,-9.8162,1
6.207,-7.0446,0
16.638,-7.513,1
9.125,-7.625,0
18.941,-4.066,1
12.043,-7.0446,0
14.517,-5.3917,0
16.17,-2.918,0
